,Author,Text
10,a,"prisoners to Espinosa’s camp.”[279]The girl gave a low exclamation of surprised horror, regarding Phil fixedly, half believing the lad was out of his mind.“I mean it,” he exclaimed earnestly. “It’s the only chance we have of saving Tillotson’s life. Your men must pretend to have deserted after the death of their master,” he dropped his voice as he saw the look of pain in Maria’s eyes at the mention of her father’s sad fate. “Lopez will claim to have taken us prisoners and then deserted to the insurgents. It’s a good plan,” he cried enthusiastically, “and is sure to be successful.”Maria paled at the mere thought of such rashness, but seeing Phil could not be moved from his avowed intention, she gave her consent grudgingly.The general was not so easily convinced. His natural and inherent cautiousness could not be changed even under the combined persuasion of the midshipman and his"
11,a,"visitor pass out through the wide entrance, he turned and called for his servant.“Tell the messenger I will speak to him,” he said as the muchacho noiselessly entered.A moment later a ragged native stood tremblingly before him, twisting his dirty head-covering in his nervous hands.Espinosa seated himself luxuriously in the chair recently vacated by Captain Blynn. He had now regained his old confidence and cruel arrogance, while he fired question after question at the uncomfortable native.The Presidente sat motionless in his chair long after his messenger had gone. His servant came noiselessly into the room several times but tiptoed away, believing his master was asleep. But Espinosa was far from sleep, his brain was actively at work. How could he hold his position and yet remain undiscovered to this terrible Captain Blynn? He shuddered as he remembered those big hands as they worked longingly to grasp his slender neck. He"
12,a,"march toward the stronghold. If he is captured or killed in the battle I shall seek General Wilson and surrender myself and men. If Espinosa escapes I shall follow him to the death.”[360]Maria knew the native spirit too well to attempt to urge her brother to give up this perilous quest of their father’s murderer, so she bowed her head submissively.An hour saw the band on the march, with Maria and Juan mounted on two ponies; quietly the native soldiers led by Gregorio Rodriguez circled the Americans encamped at the ranch and struck the trail taken in the morning by Captain Blynn and his five hundred soldiers.Long before they came in sight of the stronghold the distant rumble of musketry and the thunder of artillery told them of the struggle at the top of the mountain.Despairing of reaching the battle-field by the treacherous trail already covered by the Americans, Gregorio"
13,a,"he straightened his slight frame and rode boldly, with head erect, beside the American leader.One hour before sunrise Captain Blynn disposed his command in a single circular line about the base of a high hill; its sides[76] were covered with a dense jungle while a single trail led to the top.Under the guardianship of Espinosa the command moved forward, straight up through the high clutching brush; the men were so close to each other that their neighbors on each side were always in sight. Captain Blynn and one company marched fearlessly up the trail. A few feet from where the round top hill had been cleared he halted and waited for the remainder of his men to join him. His enemy’s camp was silent, but his keen eyes could discern shadowy forms lying prone on the ground. He searched for a sentry, but no movement could be seen. Were they"
14,a,"given prompt attention by the surgeon and several ugly wounds were carefully dressed. Phil was glad to relinquish his command to Sydney and remained luxuriously in his cot.At Rodriguez’s ranch the gunboat stopped and reverently landed the dead heroes, to be buried in the cemetery, and here General Wilson and his adjutant-general disembarked to return to Palilo by road.Just as the “Mindinao” started ahead, after landing her passengers, on its way to the mouth of the river, a native canoe paddled rapidly from the landing, and ran up alongside of the gunboat. An excited hail came from its occupant, answered by an angry cry from Major Lukban who turned, his face deathly pale, and his hands trembling, to the midshipmen at his side.“Señorita Maria is missing,” he gasped.The midshipmen were stunned at the suddenness of this unexpected and disquieting news. Maria captured! What did it mean?Lukban declared that his first"
15,a,"of the crew of the ‘Albany’ they would have all been shot or swung at her yard-arm. Seizing this merchant ship and killing her captain is piracy.”“I think O’Neil is right,” Sydney exclaimed patting the sailor on the back enthusiastically.[59] “The girl’s all right—I’ll take my hat off to her every time.”“It was my own stupidity, I suppose,” Phil declared, his face sobering slightly. “I thought she was too frightened to know what was happening; in fact I really didn’t believe she would understand what I intended doing.”“Who do you suppose she is?” Sydney asked eagerly. “Isn’t it queer she has never told us her name?”“It probably wouldn’t aid us if she had,” Phil replied; “she’s probably the daughter of some rich Filipino, who holds a fat position under our civil government. By the way she talked when we first met her I thought she was dead against war, yet"
16,a,"careful, Syd,” he added anxiously. “We’ve got to fight our way out. There seems no other way. There are twenty of them against us two.”At the top of the steps Salas turned and looked questioningly at the midshipmen. Phil dared not meet his eye for fear that the little native would see the anxiety which he strove to hide.On the floor of the big room a cloth had been spread and a repast set out.With a graceful wave of his thin hands[214] Colonel Salas made a sign for all to be seated and took, himself, the place beside Maria. Phil sat on the other side of Maria, while Sydney and little Juan were placed opposite.Their brisk ride had given them all an appetite, but the terrible predicament in which they now found themselves had quite taken away their relish for food. The lads did their best to appear undisturbed, but"
17,a,"Then a trembling seized him as a great black fin protruded from the water and the sun’s rays reflected deep red against the green of the reef.“Sharks,” he cried hoarsely, balancing himself with a great effort, for he had been about to plunge overboard to rescue his enemy.O’Neil as if by intuition had seized the lad by the foot and forcibly hauled him back into the boat.The two boats were soon secured together and the Americans, putting aside their weapons of destruction, looked down pityingly upon the terrified natives huddled together in the bottom of the proa. Many were wounded by the Krag bullets and several had died not knowing pain, so swiftly had death come. Far astern a black curl of smoke marked the gunboat.All hands turned to willingly and administered to the stricken enemy and soon all the wounded were made as comfortable as possible, their bleeding stanched,"
18,a,"characteristically jerking his thumb toward the islands astern fast being swallowed up in the glassy sea. “They ain’t taking no chances. That stretch of shore yonder,” he added, his gaze on the shore line ahead, “must be the mouth of the Davao River.”The lads gazed eagerly at the faint curl of smoke astern, but it gave them but scant encouragement, for it was only too evident that before the stranger, if it were one of the many small gunboats patrolling the islands, could hope to get within gunshot of the “Negros,” the steamer would have crossed the shallow bar of the Davao River and be safe from the pursuit of the deeper vessel.“If we could only stop her,” Phil lamented. “Smash those rickety engines or haul fires in the boiler.”O’Neil in answer cast a comprehensive glance at the sentries on guard on the upper deck. The evil-looking natives were squatted"
19,a,"not a coward; he’s just overcautious and a bit of a braggart. He didn’t like attacking in the dark.”The four boats pulled with oars muffled in toward the dim shore. Phil steered his boat for a point behind the long fringe of flashes, where the insurgent firing line was established, creeping ever closer to the handful entrenched behind walls that would soon be too hot to hold them. He had abandoned his first plan and now was landing all of his mixed command to the left of the town. If he could land without discovery, the first the enemy would know of his presence would be the horrifying, crackling report of the machine gun.“There, steer for that,” Phil breathed as a mound-like hill took shape out of the darkness.With eyes straining and faculties alert for the first premonition of danger, Phil directed his boat forward. The gunboat had been swallowed"
20,a,"side of the small hut, to put himself out of reach of the startled prisoner.“Who are you?” came from the figure, in a weak voice. “Yes, I am Lieutenant Tillotson. Tell me I’m not dreaming. Didn’t I hear a white man’s voice?”[289]Phil could see him dimly by the light of the camp-fire outside. The man had been completely cowed. What terrible torture had been inflicted to cause him to become such an abject figure, groveling before them, his voice hollow, and in his eyes a light of unreasonable fear?“It is Midshipman Perry and O’Neil from the gunboat, Tillotson,” the lad whispered. “We hope to save you if you will keep quiet and do just what we tell you.” Phil could have wept in pity at the sight of the physical wreck before him. He was shocked at the sight. Tillotson’s eyes were dull and the face empty of hope.“You don’t"
21,a,"to the tall mountains ahead of them.“Time and again the Spaniards have endeavored to drive out the outlaws from yonder stronghold, and the poor people who made their living on the river were mercilessly preyed upon by the war parties of the contending factions, until none were left. Juan Rodriguez alone has managed to remain, but only by his fearless courage and the devotion of his followers. Neither side cared to provoke him in his security until Espinosa coveted his lands and his money and, who can say, maybe his beautiful daughter.”“Maria!” Sydney exclaimed.The native lowered his voice to a whisper.“Espinosa has had but one ambition all his life; to marry the daughter of Rodriguez; but she scorned him, and to save her from his persistent attention, Señorita Maria was sent away to Manila to school. Now he has robbed her of her father and stolen the treasure which had"
22,a,"with the courage of despair;[309] and the American soldiers, fearlessly charging upward, giving no heed to the danger at the top. On the summit, the lad knew, it would be a fight to the death. The part he was to play had seemed only too simple in the light of day, but now in the silence of the night, bound as he was hand and foot, and guarded by cruel enemies who would gladly shoot him down at the first show of force, all seemed different. O’Neil’s healthy body had long since been wrapped in slumber and when Phil’s feverish eyes opened he was up and seated calmly by the lad’s side.“There are over a thousand of these gugus here in the camp,” he exclaimed as Phil with difficulty arose and endeavored to stretch his cramped limbs. “I have been spying from the door there, and I see Lopez has"
23,a,"and again the slight sound trembled on the still night. Like statues silhouetted[240] against the sky, for a second or more the three men sat transfixed with apprehension. Then as one man they whirled their horses about and galloped madly back over the road in the direction from which they had come. That far-distant sound could have but one interpretation;—the Rodriguez ranch was being attacked, and they might be needed.After the midshipmen had ridden away Maria returned to the large living-room to bid her father good-night. A new pleasure had come into her life, and what was more natural than that she should wish to share it with him? These frank, young Americans had proved themselves to be of a quality which she had not thought existed outside of the story-books of her childhood. She believed that in their friendship her father’s difficulties would melt away. Juan Rodriguez, interested as"
24,a,"seemed more in place in a drawing-room than in the jungles of the Philippines.“I saw the gunboat when we struck the beach below there,” Captain Baker exclaimed, his anxiety relieved after Tillotson had assured him all was safe, and he advanced hand outstretched, a hearty smile of greeting on his strong face. “Is this the new captain[134] of the ‘Mindinao’? I am glad to meet you both,” he said as he shook the hands of the midshipmen in turn. “I suppose we are once more indebted to the navy.”Tillotson frowned. “I have fifty men with me,” he exclaimed protestingly. “Of course the gunboat was useful in bringing us here and shelling the beach.”“What’s become of all the town natives?” Captain Baker asked suddenly.“They all left town yesterday morning,” the sergeant replied. “That’s how we knew that all was not going just right.”“The cowardly beggars!” Captain Baker exclaimed. “You’d have thought"
25,a,"in smothered rage, and Phil saw with astonishment that O’Neil had naught but his bare hands though the lust of battle was in his eyes. The horror of his recent torture pressed heavily on his mind and he was bending every exertion to reach the retreating insurgent leader.So closely did the Americans press their foes that the lifeless body of Lieutenant Tillotson was abandoned, and Phil stopped, kneeling at his side and gazed down into the still[334] face. There was a deep wound in the neck. Phil saw that the troubled spirit had been released. Ahead the pursuers had stopped and were firing fiercely in the direction of the retreating enemy.“We can’t allow Espinosa to escape,” the lad cried, aghast as he regained his men and saw with horror that many lay moaning on the ground.“They’re intrenched there, sir,” a sergeant exclaimed. “It would be suicide to charge them;” but"
26,a,"My people in war are not men, señor, they are demons.”While the girl was talking the steamer had drawn closer to the lorcha which Phil had sighted earlier in the afternoon. The night was not bright; a crescent moon cast a dim light on the hull scarcely a hundred yards on the weather bow. The breeze had freshened, and with wind free the lorcha’s sails bellied[21] out, giving it a speed almost equal to that of the steamer.“Why doesn’t he give that sail a wider berth?” Phil exclaimed suddenly as the girl’s voice died away. “If she should yaw now, she’d be into us.”“Look out!” Sydney cried in alarm as the lorcha suddenly sheered to leeward and the great mass of tautening canvas careened toward the unsuspecting steamer.The midshipmen were on their feet in an instant, while O’Neil came running up from the deck below.The Spanish captain, calling loudly to"
27,a,"him carefully and to allow no interference by their native allies.By nine o’clock two hundred men had been embarked on the gunboat and five hundred more had started under the command of Captain Blynn along the trail leading up the river; Garcia as leader was at their head.In the party on the gunboat were General Wilson, Major Marble and Major Lukban; the latter, still sullen and angry with Sydney for his unwarranted presumption in making him[298] discontinue his torture, stood with his former victim on the bridge of the “Mindinao.”Sydney headed the vessel into the narrow channel, cautiously picking his way through the numerous shoals; one minute the gunboat clung closely to the steep river bank on one side and the next it was scraping the overhanging trees on the other side.From the masthead the lookout kept the soldiers on shore in sight, and Sydney regulated his speed to just"
28,a,"torturing sensations of a drowning man; not once but many times, until his spirit was broken and he would answer questions which would make him traitorously injure his own cause. His eyes opened, and he saw dimly Espinosa’s mocking face above him. The sun had flamed forth from under a cloud and burned down unmercifully on his staring eyes. He noted vaguely that it had passed the meridian. Then a terrible fear came into his mind. Where were the gunboat and the soldiers? Surely by this time they would have made their presence known. Had the gunboat run aground and the expedition been delayed? Would a delay mean death to him and O’Neil or only one more awful day of diabolical torture?“If you will cease torturing my man,” Phil said with difficulty through his wedged jaws, “I will answer your questions.”[321]Espinosa laughed cruelly.“So you would dictate your own terms,” he"
29,a,"are lined up against the wall at Cavite and shot for piracy.”Phil held up his hand to demand silence from the excited sailor. He did not know how much English the girl might know, and the ladrone leader might learn the dire wish of the sailorman for him and his followers. Then if the “Negros” escaped, his anger could[36] be vented upon the Americans. But the girl’s face did not betray that she had understood the meaning of O’Neil’s words. The “Albany” was fast approaching, but Phil knew that O’Neil must be overestimating the cruiser’s speed; the most she could make, without special preparation, would be fifteen knots, but, and his joy welled up into his eyes,—her six-inch guns! He had seen them fired with accuracy at four miles.The shore line ahead had now become distinct. The deep cut in the surrounding hills betrayed the presence of the Davao River"
30,a,"them long in suspense, and had his say with his usual directness.“Lieutenant Tillotson, the officer of the guard yesterday, is missing. His bed shows that he did not sleep in it at all last night. I have investigated the case as far as I have been able, and I find that no one passed through the sentries except a closed carriage and a squad of Filipinos. This sentry says that you and Mr. Monroe vouched for them. Tillotson was last seen an hour before this[168] time by a sentry at the bridge whom he visited. As soon as I heard of the carriage episode I cautioned the sentry to say nothing. I wanted to see you and clear up that part before I investigated further.”Phil sat speechless in his seat while the judge-advocate general talked on earnestly. Tillotson had disappeared! How could he have been forcibly carried past the numerous"
31,a,"earnestness of his face that this gruesome information was being given for the Americans’ own good.“Your friends,” the colonel continued, “will doubtless attempt a rescue, and that will only add to your danger.”After Colonel Martinez had said good-night Phil told his companions of the unpleasant and disquieting reports concerning their future captor, but nothing could shake O’Neil’s good spirits.“It’s all in the game, Mr. Perry,” he said philosophically. “They can’t do more than kill us, and as we’ve got to die some day, it might just as well be in Kapay as any other place. But as long as we’ve got our senses and our strong arms, there are going to be some little brown men hurt before I give up my mess number.“What I’ve been trying to study out,” the sailor continued, seeing the two lads still silent, “is how all those American soldiers could pass along that trail"
32,a,"paddling out in their canoes to capture a steel monitor, it’s too absurd. Yet we stood watch on and watch off every night waiting for ’em to board. Do you blame me, sir, for feeling happy when I got these orders?” tapping his telegram against an awning stanchion. “This means life again; like we had in the dago country and up with them pigtailed chinks.”The midshipmen slapped the loquacious sailor joyfully on the back.[14]“You’re not half as glad to be with us as we are to have you,” Phil exclaimed frankly. “We’re just aching for something worth while—we’ve been roasting up on the Yangtse River since you left us, doing nothing except watch the grass burn up and the water in the river fall. I never felt such heat.”While the Americans were talking the little steamer slipped noisily down the busy river and out on the bay made famous by"
33,a,"above him poured the liquid without ceasing into his wide open mouth. The water splashed and ran out. He managed yet to breathe by contracting the muscles of his throat and then taking a slow breath but even then he felt the irritation of a few drops of water in his lungs and he knew if he coughed, as he must in a second, that all the water in his throat and mouth would enter his windpipe and fairly choke him. A feeling of suffocation oppressed him, as if a heavy weight lay pressing on his chest. He knew as yet he had not suffered, that this was but a taste of what was to come. Once more, this time as if from a great distance, he heard the cold, sinister voice of the half-breed.[322]“Before it is too late,” he said, “will you answer my questions?”Phil opened his eyes and"
34,a,"they cut his binding cords and gave both him and O’Neil a bucket of water to wash in. They had been on the point of arousing Tillotson by a cruel kick, but through Phil’s insistence, they left the shack without disturbing the sleeping man.After eating and enjoying a scanty breakfast, the two Americans surveyed with great interest the scenes about them.[311]“Do you see that gun there, sir?” O’Neil exclaimed, suddenly nodding his head toward a Spanish howitzer mounted on the cliff just to the right of the trail. “It’s manned by Espinosa’s men!”“That’s bad,” Phil replied anxiously; “and you notice, it commands the river.”“Good-morning,” in Spanish from behind them caused Phil to swing about quickly and gaze into the amused but wicked eyes of Colonel Salas. “So we are to have the pleasure of your company as our guest, after all?” the Filipino continued tauntingly. “General Espinosa is making great"
35,a,"navy for saving my men. Tillotson, you can return; I’ll keep your men.”Lieutenant Tillotson’s face, which had become sorely troubled as the telegram had been read, suddenly cleared. Phil felt that he would have died if a soldier of Captain Baker’s standing and reputation had even hinted at his uselessness, as he had at this hard-skinned, self-satisfied lieutenant.After a night’s run the “Mindinao” was[136] again tied up to the dock at Palilo. On the trip down the lads had left their unpleasant passenger severely alone, while he had spent his evening writing, filling sheet after sheet of paper with closely spaced lines.“Official report of a spectator,” Sydney whispered loud enough purposely for Tillotson to hear. The latter looked up and scowled.After breakfast the next morning Phil reported at the general’s office. Major Marble received him with a grave face.“For the land’s sake, Perry! What have you done to Tillotson? He"
36,a,"would still hold. They were true in substance,[139] every one of them. As commanding officer of a gunboat Phil was within his rights when he laid his plans as to where the attack of the gunboat should be and the locality to land his own men; but he could only advise the army man from his nautical experience as to where the best place would be to land the soldiers in order that their coöperation might be harmonious. Lieutenant Tillotson was free to accept his suggestions or refuse them as he saw fit. So long as they were both afloat the army officer could give no orders to him, nor could Phil give orders to his superior in rank. To the anxious lad it was certainly a perplexing situation. His conscience was quite clear upon the soundness of the plan he had proposed, and he felt that in carrying it"
37,a,"the army man.“I suppose,” Phil said in apology for him as they parted, one to turn in, the other to keep watch until midnight, “that he’s had so much fighting he’s grown careless.”At midnight Phil was awakened, and relieved Sydney on the bridge, while the latter went below to get a few hours’ sleep before he would be needed in the work to be accomplished. Phil gazed through the darkness[108] ahead of the gunboat; the dim outline of the land along which they were traveling could be seen on the port hand. The coast was bald and he knew he could without danger run as close as he desired to its precipitous cliffs. The more he thought of the scornful carelessness of the young lieutenant the angrier he became. What right had he to consider such an expedition one to require no plans? What if he landed in an ambush?“He"
38,a,"which Phil had taken from the dead messenger at Binalbagan. The message was in Espinosa’s own handwriting, and warned the attackers of the gunboat’s approach.“I see now that I have been repaid for my stupidity,” he moaned. “I believed that I could unmask him and earn the thanks of the general, but first I wished to get from him a full confession and implicate his accomplices. I showed him the letter and told him I would call at his house after visiting the sentries.” The overwrought officer broke down and sobbed for several minutes before continuing.[291] “I was a child in his hands; I did not know his power. His followers trapped me and carried me away by water, bringing me to this awful place. Every day some new torture is devised for me. To-day I was suspended by my neck with only my toes on the ground. That was"
39,a,"of coast line. An occasional sail was sighted and overhauled, only to find in it a handful of frightened fishermen.[353]As night approached the gunboat was brought to a stop in the centre of the line of patrol in order that it might be at an equal distance from all possible points of departure, in case Espinosa had eluded his pursuers.“If he has a proa in waiting, hidden in the swamps of one of these estuaries, he will choose night for his escape,” Phil declared as he studied his inaccurate chart, “and at night he can easily elude us, for it is too dark to see a half mile. Our only hope is that there will be no wind, and if the air is sufficiently calm we can hear the dip of oars for miles.”Phil stationed his sailors as lookouts everywhere, with orders to listen alertly and make known to him"
40,a,"grounded on the sandy beach and the men had jumped overboard into the shallow water. Once on the beach, he superintended the securing of the boats and then led the way toward the point he had selected for the first position to be occupied. The enemy were only a few hundred yards away, but so intent were they on the accomplishment[118] of their cruel purposes, that the shadowy forms of the men from the sea, stealing quietly through the short grass and against a background of darkness, were not discovered.Phil’s quick eyes suddenly discovered some one approaching from a direction away from the enemy. He gripped his revolver firmly, not knowing how many more men might be behind the figure discovered. As the Americans approached the newcomer, a native suddenly raised his hand and called loudly:“Amigo, hua carta.”[2]A blow from O’Neil’s revolver butt was the answer, while Phil grasped the"
41,a,"asked eagerly. “I have a plan, and all depends upon whether he can be trusted to lead us against Espinosa, if not willingly, then under intimidation.”“Before they killed my father and carried away the treasure,” the girl answered, a spark of excitement entering her dull eyes, “Espinosa and Salas got the information necessary for their work from Garcia, bound and helpless where your sailors had left him. They refused to liberate him and hoped he would be killed by the Americans. You can be sure,” she added, “that he will take keen pleasure in running his enemies to earth.”“And now for my favor from you,” the lad continued in a lower tone; “as Garcia will take Lopez’s place as guide for the soldiers to the trail up the mountain, I want twenty-five of your men whom you would trust to the death, under the command of Lopez, to take O’Neil"
42,a,"the girl dismissed the guards and the Americans once more gathered about the breakfast table.A few moments later Colonel Martinez, his face wreathed in smiles, left the bridge and joined them.[57]“You are to be given the freedom of the town,” he said as he took a cup of coffee from the servant’s hands and sipped it gratefully, “but I warn you if you attempt to escape you will be shot, and even if you escaped, without guides you would be lost in the jungle and be killed by ladrones.”Phil bowed his head in sign of submission. They were certainly prisoners, without hope of rescue.“To-morrow morning,” Colonel Martinez added, “we shall leave the village and march inland. I have already sent to notify our leader that I have successfully arrived. I think for your own good it would be wiser for you to remain on board here until we start. I"
43,a,"What have you done to Tillotson? He denounces you in scathing terms in his official report to the general; accuses you of weakening his authority before his men; humiliating him on your own ship; deliberately shoving off from the ship without him because he did not approve of the entire plan which you devised without his concurrence, and lastly reports you for insubordination when under his orders ashore and treating your superior officer with contempt. In fact,” Major Marble ended, “he has started at the top and gone to the bottom of all the military offenses.”[137]Phil gasped in astonishment. Major Marble stood gazing compassionately at his young friend, apparently hoping to hear him clear up the mystery. But Phil was silent. He must have time to think.After Phil had reached his ship he scarcely remembered how he had behaved to his anxious and sympathetic friend, Major Marble. The boy’s mind"
44,a,"or else let’s try to get by; we can’t afford to[337] leave the neck of the sack open for Espinosa and his cutthroats to escape.”Sydney saw there was no way out of the situation, save to silence the battery:—one shot through the boiler of the “Mindinao,” and the gunboat with all on board would be killed by the explosion or else drowned in the madly racing current of the river.“Take a few shots at that gun,” he ordered hoarsely. The gun-pointers when they heard the spiteful hiss of the enemy’s shell had, as though by an order, ceased their fire and waited obediently for the command which they felt sure the midshipman would give. They did not relish being fired upon and not allowed to return the fire.Sydney’s glasses were upon the cliff: he saw a group of struggling figures about the cannon, and then to his surprise and joy"
45,a,"had been embarked on the gunboat and five hundred more had started under the command of Captain Blynn along the trail leading up the river; Garcia as leader was at their head.In the party on the gunboat were General Wilson, Major Marble and Major Lukban; the latter, still sullen and angry with Sydney for his unwarranted presumption in making him[298] discontinue his torture, stood with his former victim on the bridge of the “Mindinao.”Sydney headed the vessel into the narrow channel, cautiously picking his way through the numerous shoals; one minute the gunboat clung closely to the steep river bank on one side and the next it was scraping the overhanging trees on the other side.From the masthead the lookout kept the soldiers on shore in sight, and Sydney regulated his speed to just keep pace with them. He thought often and with grave concern of Phil. What luck had"
46,a,"wish to occupy the position just vacated by our mutual friend Espinosa?”Rodriguez drew himself up proudly while the midshipmen gasped at this harsh arraignment.“I do not blame you, señor,” the native answered, no evidence of anger on his placid face. “I know that you can have but little reason to trust the honesty of the men of my race. But I do not desire a position. I am now ready to take the field with my men, heretofore neutral. I have three hundred rifles.”“You are ready then to take the oath of allegiance?” Captain Blynn asked in official tones.“Yes, señor, and keep it,” Rodriguez returned, his eyes unflinching.“Have you any news that will lead to our knowing the whereabouts of Lieutenant Tillotson?” Blynn asked.“Ah, I have,” the native answered eagerly.[194] “I was about to ask you—my spies report a captive with Espinosa.”The Americans gave sighs of relief. At least Tillotson"
